log_size,precomp,c,msm_time(ms)
12.0,12.0,21.0,23.641
12.0,12.0,22.0,12.193
12.0,12.0,23.0,27.475
12.0,13.0,9.0,3.397
12.0,13.0,10.0,4.895
12.0,13.0,11.0,2.27
12.0,13.0,12.0,2.311
12.0,13.0,13.0,2.468
12.0,13.0,14.0,12.059
12.0,13.0,15.0,2.124
12.0,13.0,16.0,2.38
12.0,13.0,17.0,2.8
12.0,13.0,18.0,12.77
12.0,13.0,19.0,5.129
12.0,13.0,20.0,4.663
12.0,13.0,21.0,15.233
12.0,13.0,22.0,13.118
12.0,13.0,23.0,28.197
12.0,14.0,9.0,3.269
12.0,14.0,10.0,4.904
12.0,14.0,11.0,2.321
12.0,14.0,12.0,2.076
12.0,14.0,13.0,2.446
12.0,14.0,14.0,11.736
12.0,14.0,15.0,2.15
12.0,14.0,16.0,2.414
12.0,14.0,17.0,3.063
12.0,14.0,18.0,13.525
12.0,14.0,19.0,2.999
12.0,14.0,20.0,4.262
12.0,14.0,21.0,16.061
12.0,14.0,22.0,11.828
12.0,14.0,23.0,28.579
12.0,15.0,9.0,3.536
12.0,15.0,10.0,5.074
12.0,15.0,11.0,2.737
12.0,15.0,12.0,2.295
12.0,15.0,13.0,2.467
12.0,15.0,14.0,12.081
12.0,15.0,15.0,2.147
12.0,15.0,16.0,2.327
12.0,15.0,17.0,2.141
12.0,15.0,18.0,12.147
12.0,15.0,19.0,3.165
12.0,15.0,20.0,4.147
12.0,15.0,21.0,15.845
12.0,15.0,22.0,12.155
12.0,15.0,23.0,30.958
12.0,16.0,9.0,3.441
12.0,16.0,10.0,5.146
12.0,16.0,11.0,2.33
12.0,16.0,12.0,2.371
12.0,16.0,13.0,2.492
12.0,16.0,14.0,11.862
12.0,16.0,15.0,2.142
12.0,16.0,16.0,1.922
12.0,16.0,17.0,2.168
12.0,16.0,18.0,12.383
12.0,16.0,19.0,3.062
12.0,16.0,20.0,4.492
12.0,16.0,21.0,16.224
12.0,16.0,22.0,12.516
12.0,16.0,23.0,27.947
12.0,17.0,9.0,12.434
12.0,17.0,10.0,5.085
12.0,17.0,11.0,2.729
12.0,17.0,12.0,2.333
12.0,17.0,13.0,2.481
12.0,17.0,14.0,12.285
12.0,17.0,15.0,1.93
12.0,17.0,16.0,1.909
12.0,17.0,17.0,2.148
12.0,17.0,18.0,12.156
12.0,17.0,19.0,4.115
12.0,17.0,20.0,5.023
12.0,17.0,21.0,15.387
12.0,17.0,22.0,13.434
12.0,17.0,23.0,28.57
12.0,18.0,9.0,12.527
12.0,18.0,10.0,5.392
